id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2925486,Unique 1-bdrm apt big yard-near Downtown-pets ok,14937363,Melanie,,28805,35.58693,-82.50327,Entire home/apt,140,1,327,2021-11-07,3.53,1,277,48,
2949571,Happy Haven ART Studio 2 Bdrms No Cleaning Fee :),15056995,Celeste & Esiris,,28806,35.59595,-82.63034,Entire home/apt,129,2,222,2020-03-18,2.41,2,333,0,
3040444,Private Suite. 10 min walk to Town,12874214,David,,28801,35.60329,-82.55617,Entire home/apt,102,2,529,2021-12-11,5.76,3,355,66,
3066648,Cozy Downtown Cottage - Close to Mission Hospital,8035294,Alicia,,28801,35.59215,-82.5664,Entire home/apt,85,60,181,2021-10-15,1.97,3,76,1,
3084395,Modern Tree Top Bungalow,15694798,Josh,,28804,35.6241,-82.53003,Entire home/apt,153,1,305,2021-11-03,3.32,3,333,16,
3095136,Spivey Mountain Cabin w/Hot Tub / Fire  Table/WiFi,15694798,Josh,,28806,35.59519,-82.63967,Entire home/apt,211,1,372,2021-11-23,4.04,3,260,28,
3116699,Asheville Modern Round House,15694798,Josh,,28804,35.62352,-82.52959,Entire home/apt,209,1,326,2021-12-05,3.65,3,303,41,
3220474,Guest Room: Mountainside Private Room & Pvt. Bath,16296123,Allison & Peter,,28803,35.49069,-82.51348,Private room,46,1,729,2021-12-04,8.01,3,73,92,
3225871,Little forest 5 mins from airport,16293519,Ellen,,28732,35.4394,-82.50569,Entire home/apt,33,1,90,2019-09-16,1.33,1,0,0,
3268055,Cedar Springs Farm Apartment- Close to town!,167473,Kelly,,28806,35.58751,-82.63689,Entire home/apt,72,2,164,2021-11-20,1.80,3,73,21,
3268747,"Beautiful 2bdrm apt in Biltmore Village, Asheville",1936889,Kathleen,,28805,35.57215,-82.53483,Entire home/apt,170,3,2,2021-07-28,0.41,1,0,2,
3314819,Basement: Mountainside Private Room & Private Bath,16296123,Allison & Peter,,28803,35.49097,-82.51284,Private room,42,1,982,2021-12-03,10.78,3,71,163,
3369973,Nana's Place is minutes from everything!,12087030,Marie,,28803,35.58215,-82.5475,Entire home/apt,160,2,211,2021-11-28,3.19,1,324,48,
3405282,The Cabin In Grove Park,17173574,Scott & Catherine,,28801,35.61206,-82.5441,Entire home/apt,75,29,15,2021-11-30,0.20,1,54,4,
3445336,Bungalow in Downtown Asheville,17363326,Michael,,28801,35.59183,-82.54579,Entire home/apt,150,30,0,,,2,365,0,
3454237,Asheville Mtn. Retreat,6619953,Becky,,28805,35.59006,-82.50414,Entire home/apt,90,30,76,2021-12-05,0.84,1,229,1,
3522532,Quiet Luxurious Studio-Guest House,4846203,Zak & Iz,,28806,35.58012,-82.60711,Entire home/apt,52,30,178,2021-11-03,2.01,1,57,4,
3529241,"Walk to Downtown, Mid-Century Modern",17767321,JC & Jackson,,28801,35.60233,-82.56226,Entire home/apt,250,7,297,2021-11-10,3.33,1,7,34,
3563156,"Sweet Room & Porch, Private Entrance And Bath",653292,Joann,,28806,35.57729,-82.60579,Private room,55,2,166,2021-12-05,1.85,1,347,41,
3569949,"Dog Friendly, 5 Minutes to Downtown, Walk to Yoga",17974144,Peggy,,28804,35.63273,-82.5769,Entire home/apt,97,1,173,2021-11-28,3.34,1,30,36,
3590634,Cozy Cottage by a Little Mountain Stream and Pond,18089084,Patty,,28803,35.54661,-82.4924,Entire home/apt,126,2,251,2021-12-08,2.79,2,326,54,
3649639,Cheerful Home In Historic Downtown Asheville,18450336,Michele,,28801,35.60815,-82.56361,Entire home/apt,96,1,477,2021-11-21,5.30,1,266,59,
3654375,Sassy Purple Cottage!,11336944,Sharon,,28801,35.60961,-82.56742,Entire home/apt,131,120,50,2016-07-04,0.56,2,365,0,
3741771,Urban Oasis- walk to Haywood road,2392127,David And Melissa,,28806,35.57965,-82.58172,Entire home/apt,136,1,356,2021-11-25,4.01,3,347,52,
3767793,WEST AVL - Mountain View’s - HOT TUB,9385592,Kelsey,,28806,35.63595,-82.6494,Entire home/apt,792,3,71,2020-01-19,0.79,5,173,0,
3821004,Firefly Hidden Haven with Archery,473131,Alexandra,,28806,35.597855,-82.596458,Private room,76,3,53,2017-01-01,0.59,1,0,0,
3868452,Peaceful Log Home with Long Range Views,19697970,Daniel,,28806,35.61309,-82.59688,Entire home/apt,274,3,166,2021-12-06,1.95,1,310,17,
3868910,The Henhouse,19977236,Louisa,,28801,35.59157,-82.56673,Entire home/apt,124,2,305,2021-12-12,3.42,1,252,45,
3924937,"The NEST Above Asheville, with Downtown View!",20119031,Jessica,,28804,35.62909,-82.58608,Entire home/apt,156,1,63,2021-11-27,0.72,1,69,24,
3945733,"Romantic Vintage Studio— Clean, Near Downtown!",20447538,Danielle,,28801,35.61053,-82.55582,Entire home/apt,110,1,426,2021-11-28,4.86,2,346,55,
3968877,Fabulous Studio 7 min to downtown!,11584674,Callie,,28804,35.62881,-82.57323,Entire home/apt,130,2,200,2021-11-21,2.26,1,354,48,
3984596,Historic West Asheville 1930's Charmer,8260778,Ryan,,28806,35.57489,-82.57172,Entire home/apt,364,2,177,2021-11-28,2.02,1,346,29,
3986614,Quiet Private Cottage in N. Asheville...,5656896,Michael,,28804,35.622231,-82.561401,Entire home/apt,66,2,295,2020-03-29,3.68,2,264,0,
3990524,Private suite in walkable W. Asheville,1676385,Pamella,,28806,35.58006,-82.58663,Private room,55,1,170,2021-12-10,1.92,1,337,24,
4045013,Bittersweet Cottage - It's All About The View!,20973612,Matthew,,28804,35.653435,-82.542511,Entire home/apt,280,2,205,2021-11-17,2.42,2,246,33,
4108784,Everything Zen Asheville,3221035,Mark,,28804,35.62284,-82.60681,Entire home/apt,77,2,396,2021-12-03,4.52,1,290,70,
4124504,Forest Hill Bungalow,11006041,Shari,,28803,35.57347,-82.53753,Entire home/apt,99,2,300,2020-03-08,3.45,1,0,0,
4129119,Bungalow and BBQ,21420468,Christine,,28804,35.6154,-82.5552,Private room,72,1,442,2020-12-06,5.10,1,0,0,
